"authorId","badges/0","badges/1","badges/2","externalSource","itemType","negativeFeedback","positiveFeedback","productId","productName","productUrl","rating","recommended","reviewId","submissionTime","text","title","userNickname"
"5a7a321895d1abd85175362cfdc8ea31","VerifiedPurchaser",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","3",,"358334072","2024-09-25","I needed a replacement BT headset for work. This one was rated the best headset and it said it would connect to a computer. When it arrived the package says it only works to listen to music through a subscription. I need one for meetings that I can talk with others. I didn't even open the box. I did learn to be sure the product is Teams certified and allows talking before ordering.","Not for working remotely","2newknees"
"6ipgcjt60hnwnrs4npn07w4dv","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","3","false","170205913","2024-12-01","The headphones work exceptionally well, I bought them for a noisy office. My only issue has been that they get uncomfortable after wearing them for a while. I have to take them off as they hurt the top of my head. They need more cushioning at the top of the headphones. I was disappointed with this and thought it might just be that I have to get used to them. Unfortunately that hasn't worked. Considering the price I am disappointed.","Disapointed","EmaA"
"hm9892aq9r2kzhxz45dkbd4c7","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","3","false","170285938","2024-12-03","I bought these based on a recommendation. They are superbly comfortable and noise cancelling is excellent. But, they sometimes disconnect without warning. Sound quality can also get distorted for the person on the other end of the phone. For example, if I put my hand over the right earpiece to hear something outside a phone call (this is a feature). When I take my hand away, the person on the other end says that I sound like 'I'm talking under water'.
Both of these issues make the headphones less than ideal for business use.","Surprised","RichR064"
"ee9y1gqdaqccwyc6n62j1rw7k","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","3","false","170241800","2024-12-03","I bought this product in January of this year, the product itself is great re sound etc but the right side stopped working in November, 10 months after purchase which was very disappointing. It is currently away being serviced with no updates received yet.","WH-1000XM5","NJA11"
"47f2009c3dc33429c2288745ae18f372a5b95ee31ed9f494250246fa4194928e71c6c51007d5dda2c565506a1a86ee34","VerifiedPurchaser",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","2",,"318162052","2023-09-19","My package arrived with the box broken or torn open. Headphones that cost hundreds of dollars were clearly visible. There was minimal packing materials inside to protect the product. It's hard to verify whether I even received a new item because of the condition of the shipment. It's a miracle I got to the package in my lobby before someone grabbed the headphones straight out of the box.

Yes, packages get damaged in transit, but quality packing is a huge part of deterring that. It's also a choice to use FedEx. Just know that your stuff might not arrive correct. Might be safer to purchase from a different seller.","Poor packing of item","Brandon"
"2mevv2agzc1ycm0wbr0xonwt9","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","1","false","1158846992","2024-03-27","I tired to pair with two devices, Macbook and iPone.  Noise cancellation is not as good as Bose QC ultra, Sound quality is not as good as B&O H9.  Cannot wear it more than 1 hour.  volume level will change itself, even with pre-set via APP. touch feature is not good, up and down direction has to be specific.  and the app is funny and complicated to use.  Feature is not as good as described.  NOT recommend to buy.","Sound quality OK, everything else, NO GOOD","GUANG"
"b039330b704e5c8ad30c7254b25c4f39723b9a2b16b630c0af8822d87d4fdc5cc5f85b9ff06475b54339ea242d6f6759","VerifiedPurchaser",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","1",,"328608267","2023-12-18","This is a gift for someone how can I give this to someone when it's really dirty that's why apple is better.","Disgusting","Jocelyn"
"14158703abe391eb85983764e56f31339233962c22d3fda19f30122ad88ab5da1041269f63504ea12f423bc999008504","VerifiedPurchaser",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","1",,"326409054","2023-12-03","Box itself look old product .Didn't liked it",,"Nikhil"
"kxqmfatdpxdi28ofck3gvf49o","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","1","2","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","1","false","1171225188","2024-09-12","These worked great for a few months, with the exception of randomly disconnecting from bluetooth on flights every so often. However more recently they've started making a loud buzzing/feedback noise and shutting off. Happened twice today in a span of 20 min. 

Customer service is useless and just gave me a phone number for some external servicer.","Great for a few months","Em22"
"u5z7brscm84pfbvtyzj91iozn","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","1","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","1","false","1177510844","2024-12-23","The supporting app is very clunky. Sometimes it just won't connect even restarting the app and/or the headset. Found the app very frustrating. Wouldn't buy this product again.","Sound Connect App is lousy, headset is hot","Generalp2"
"37ba53b50d42bc5ff9c50bc75a62a17e","VerifiedPurchaser",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","3",,"370265941","2025-01-01","Great sound, nice features, but they're bulky, and the case is pretty large. If you travel it takes a lot of space in your carry on. I very much dislike having a special app just for these headphones, as opposed to just regular Bluetooth. I like the sound and although a little heavy on the head they're comfortable over the ears. As expensive as they are I would probably not purchase them again.","Nice, but….","CB"
"ozrih3ntjhi3wvocw1zss6vvc","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","2","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","1",,"1175732075","2024-11-26","Product broke within one year. Despite apparent 1 year warranty, there doesn't seem to be a way to reach anyone by phone or online.","Headphone broke within a year, no product support","smoon"
"76adef47d15d356e97556a5e58f09faaa15672a3580a01bac414e480f974928f06bf1f6d5785a2716fee7a78aff37d73","VerifiedPurchaser",,,"bazaarvoice","Review","0","2","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5",,"321804258","2023-10-24","I'm an Apple fan, but I couldn't justify the price and weight of the AirPods Max. I used the WH-1000XM2 for many years, and the WH-1000XM5 are better in (almost) everything: great sound quality, noise cancellation, design, light weight, incredible battery life.

The only downside for me compared to the older model is that they don't fold, therefore the case is very big and it's more inconvenient to travel with them.","Apple fan opted for these over the AirPods Max","Lorenzo"
"ahqhxkrenfb2yojoxj761u27e","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","4","true","1168159643","2024-07-22","Best noise canceling headphones hands down, but I took one star away for a couple of reasons. First, the headband adjustment doesn't adjust for my head size. My head is smaller than the smallest size allowed by the headband. This gets bothersome because I want the headphones to fit my head snug, and they tend to fall/slide right off my head if I'm bending down to get something while I have them on. Also, the ear covering part swivels forward and backwards in an odd way. At times, it gets bothersome getting the right direction to put on the headphones because of this. One possible solution to this would be to add something to the ear cover part that would help find the right ear or left ear so a user using the headphones in the dark can easily find the correct ear cover and direction to place the headphones over the head and onto the correct ear, or the correct direction. Otherwise, these headphones are worth their weight in gold. LOVE LOVE LOVE MY WH1000 XM5","Best headphones hands down but…","biotune"
"49f2c458f88f7bb68e23ad079076187e3b4dc45b7d29ddcdb0fa7181743eb15a06cd078c25e38f0e109fb8e9deb495c8","VerifiedPurchaser",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","3",,"352741445","2024-07-31","if you can spend the extra bit for the Bose QC Ultra I'd recommend doing that. the noise cancelling is much better, they're much more comfortable, and they fit more snuggly around the ears. you can wear them for hours with no discomfort. these though began hurting the top of my head after a couple hourse, the noise cancelling constantly changes and ""adapts"" rather than just staying at the max, enter chat mode every time I adjust them on my head, has few options on the app, and just generally inferior to the new Bose headphones.","didn't meet expectations","Marc"
"5b61ccefb21ab5a1fe3b748b09fc298349c1c400905246e71f0047d96af4eadbd8a1aadc4471ed235f4474cf16f379d0","VerifiedPurchaser",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","4",,"354620689","2024-08-19","Great audio quality and noise canceling works well. Microphone works good too. Lots of features in the app. Requires app subscriptions for use if Sony 360 Reality Audio which is a bummer, who needs another subscription to get the most out of a product already purchased? I'm not really sure what the subscriptions provide, other than the test audio sounded great for it. 
My main issue is that the fit was too tight and gave me a headache. I have an average head size for a guy. I ended up returning and getting a different product which I'm pleased with.","Great audio, tight headband","TopReview"
"9yp8jtdauwiue3lq2qiukq4ya","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","1","false","1171889845","2024-09-27","I've now been through 4 pairs of Sony noise cancelling headphones, 3 pairs of the XM4 and now this pair of XM5 and they ALWAYS fail in some way. The three pairs of XM4s were because of TWO warranty replacements. Now, my XM5s which I otherwise loved and treat very well, are failing at the headband need the ear cup like many many others are reporting online. Sony is designing these to fail, it's obvious. They sound good but I simply cannot recommend Sony headphones anymore. The will fail in some way within a couple years. What happened to making quality products that last? Corporate greed plain and simple. sad. The last thing I'll say is not being able to turn off the touch feature SUCKS especially when every touch of the ear cup makes a sound prompt.","Definitely planned obsolescence","sonyisdone"
"p669w487abt8dq677km3ax9vu","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","1172492580","2024-10-10","I love these. They're so comfortable, great sound quality, and noise canceling is top notch. I love these new colors and shape, comparable to beats and apple but for much less. Just excellent value. The buttons take some getting used to, but after rereading the instructions I've gotten them figured out. I've worn them on a 4 hour flight and was comfortable the entire time. I like the pass through sound, being able to toggle back and forth is great. They're easy to connect between my work laptop, my phone, and my personal devices. Great sound quality of my voice when on the phone or on zoom calls, no tin sound quality or anything, no echo.","Love","gmcken7"
"dh1h7gspc3eaerg567of66l6c","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","1","false","1170060943","2024-08-28","In a year of ownership the following happened: the headband broke at the swivel joint. Sony denied my requested replacement. Then the right ear cup developed a persistent thruming hum in the right ear only that would grow into a squelch if not positioned perfectly. Finally I gave up and put them in the garbage can they should have always been in and purchased the far superior XM4s on Prime day.

Buyer beware.","More fragile than the male ego",
"akx4sfyaeikp95ul1mof1da4y","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","168935594","2024-10-05","I bought these a month ago and have been impressed with the superior quality. Excellent, crisp sound. Amazing noise cancellation. And I love the colour, which I was a bit worried about before purchasing but would definitely get the silver (which is really more beige) again! I love these!","Superior!","don218"
"5pubqmw29cbf70qf6b5bnqap9","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","1176916074","2024-12-14","I bought this for work and I'm a machinist that deals with audible noises above 110Db so it's constant and these headphones phone have blocked out 90% of noise 
They work for people who have glasses and doesn't smash them across their head works with safety goggles and light enough to wear all day 
The Sony app for noise management is amazing too sooo many features too long to put in a review but user friendly 

Best overall headphones phones that go over ears 

Even better noise cancelling try the Sony  xm-004 ear buds I have those too and these paired are the best for any time","Best noise cancelling","Bootsmageee"
"bd5oppyvr0asevqvcbikodzn8","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","1176320515","2024-12-05","I bought this product as a replacement for my 1000MX4 that I left on the airplane. it is a great product but finding model number and specially serial number is like pulling a tooth. Why it is not included on the very little literature attached to the product? a million dollar question.","great product with bad product information include",
"t3seunkezbb97c4b5h38h5fix","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","170005388","2024-11-22","Enjoy wearing these head phones as they are comfortable and enjoy the quality of sound and the easy to use features. Being matt black they do show finger marks if you have oily /sweaty hands","Good sound and","Golfah"
"p1id692sz86s2mou1deioplkj","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","170138203","2024-11-27","I bought my Sony headphones a month ago and the depth of sound quality is amazing. I can hear intruments playing in songs I'd never heard before. The detail is incredible!","Fantastic!","Carmen64"
"t2oi1116k89qvd43tmoa0p88u","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","4","true","169661214","2024-11-06","The headphones on their own are fantastic! Great for calls and music. However, I have challenges switching between devices when I try to join meetings on my laptop.","Good, not great","RKou"
"hfpfjz3g12cftld0hb249eme9","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","170138084","2024-11-27","I bought these after comparing a range of brands for function, comfort and price. After three weeks I can say I'm delighted with my purchase. The sound is excellent, the battery life is great, and the app is really easy to set up and use.","Top Notch","sallen"
"3lorstd1kfla1khblew8pgegt","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","170242747","2024-12-03","I bought these last week for some long haul travel. Sound and battery life were outstanding. The Noise cancelation was the feature that meant my flights were a pleasure and arrived far less tires and relaxed than usual. Recommended for travel","Awesome","Scpsa"
,"VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","1","false","1177504070","2024-12-23","I bought these headphones alittle bit ago to wear to the gym, then seem to slip off my head and the noise cancellation sucks.
You can still hear things around you and i thought that they would at least stay steady on my head not slip off.","Bad noise cancellation","alyssak"
"9txpm2pub5n4vz9xd7psxwotp","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","169686044","2024-11-07","I bought this recently as I have been wanting some amazing high end headphones, and these are exactly that. Everything is literally perfect from the sound, comfort, design, case, ANC/Transparency and battery.","Perfection","Naman27"
"bccrv1zob7k2ppl4hpz1dls0o","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","4","true","169761418","2024-11-11","I've been using my headphones for about a week now. It was a bit tricky to learn the different settings, and the noise cancellation is not quite as strong as I would like, but over all they're a good product I would probably recommend.","Pretty good 😊","Rebekah"
"t3seunkezbb97c4b5h38h5fix","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5","true","170005388","2024-11-22","Enjoy wearing these head phones as they are comfortable and enjoy the quality of sound and the easy to use features. Being matt black they do show finger marks if you have oily /sweaty hands","Good sound and","Golfah"
"85864783ad5625c7e39b50f90cc27bdf5e9fffc7eab0efb4f088a93c3d026b0bbff27bf9e6de41a1131d47cf01a241ae","Staff",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","4",,"370916234","2025-01-05","I love these when they work. There was an app change with no communication, which led to several missed updates. Once that was fixed, these worked perfectly again.","almost perfect","Suzanne"
"7cae9a1c754a67687ee682661733d657f777ded19081e63aea812f24600f59df3a54525c7ef1c72ae60e826074106342","VerifiedPurchaser",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","5",,"371841811","2025-01-12","Much easier to connect and switch between devices than my previous pair of Sony XB900Ns. Long battery life, comfortable for long periods of time, great noise canceling obviously. Will continue to buy and support Sony headphones.","Best noise canceling headphones on the market","Eric"
"lv6uvl8cdq1bvjgov020t7fyi","VerifiedPurchaser","VerifiedPurchaser",,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","4","true","1167515630","2024-07-10","They're as great as everyone says they are: super comfortable, great audio, great calls, easy to use.. but the ""auto noise cancelling optimizer"" is awful, and the only reason I don't think they're perfect. All of the reviews said ""best noise cancelling"", but I'm not hearing that so I might return them for something else.","Fantastic headphones, weird noise cancelling","dmdoull43"
"tx2754xl4u2ulk9sa47cewgfc","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","4","true","167899256","2024-08-26","I bought this three weeks ago. I'm impressed with the sound and mutliple features. However the audio “lag “ when playing video and using the headphones and speakers remains a problem in spite of using a Avantree Obit transmitter.. it appears no one has a solution to this.The lack of APTx codec compatibility is the issue.","Great features","DUCKDOWN"
"m1cx4sbef2w3tvpo81laeomkl","InternationalReview",,,"bazaarvoice","Review","0","0","386006068",,"https://www.walmart.com/ip/Sony-WH-1000XM5-The-Best-Wireless-Noise-Canceling-Headphones-Black/386006068","2",,"166995597","2024-07-16","In contrast to many reviews on the web, I found them extremely uncomfortable even after wearing them only for 15 minutes. I blame it on the quite shallow earcups since the material feels soft. I looked at many competitors since and they all have way deeper earcups and feels better on the ear.  Also they are very prone for sweat as there is no room for breathing probably to give extra passive noise cancelling. 
Otherwise would be happy with them but again the discomfort is a show stopper for me. 
Other things to critique is that Sony does not provide international warranty which I find poor given they are selling in all these countries","not comfy","pekaynz"
